CASE	SPEAKER	NORMALIZED_MATCH_POSITION	WORDS_IN_IU	INTONATION	MORPHOLOGY	LEXICAL_RET	MIRRORING	PREC_PAUSE	FOLL_PAUSE	FUNCTION
1	Ivan Dolganov	1	3	Continuing	-л	FALSE	NA	1.5	2.7	COP
2	Ivan Dolganov	1	1	Continuing	-гэ	FALSE	NA	2.7	0.7	PH
3	Ivan Dolganov	1	2	Falling	-л	FALSE	NA	0.3	1.4	COP
4	Ivan Dolganov	1	1	Continuing	-к	TRUE	PARTIAL	0.5	0	PH
5	Ivan Dolganov	1	1	Truncated	-ллэ	TRUE	FULL	0.9	0	PH
6	Ivan Dolganov	1	2	Truncated	-гэлэ	TRUE	FULL	0	0	PH
7	Ivan Dolganov	0	2	Falling	-гэ	TRUE	FULL	0.4	0.8	PH
8	Ivan Dolganov	1	2	Continuing	-й	FALSE	NA	0.5	0.4	COP
9	Ivan Dolganov	1	2	Continuing	NA	TRUE	FULL	0.9	1.4	PH
10	Ivan Dolganov	1	2	Continuing	-ӈи-к	TRUE	PARTIAL	0.6	0.3	PH
11	Grigorij Shalugin	0	5	Continuing	-гэ	TRUE	FULL	0.2	0	PH
12	Grigorij Shalugin	1	4	Falling	-л	FALSE	NA	0	0.5	COP
13	Grigorij Shalugin	0.5	3	Falling	-ну-л	TRUE	PARTIAL	0.3	0.5	PH
14	Grigorij Shalugin	0.666666666666667	4	Falling	-л	FALSE	NA	0	0.8	COP
15	Grigorij Shalugin	1	4	Continuing	-л	FALSE	NA	0	1	COP
16	Grigorij Shalugin	1	2	Falling	-й	FALSE	NA	1.9	1.8	COP
17	Grigorij Shalugin	1	2	Falling	-й	FALSE	NA	1.8	0.6	COP
18	Grigorij Shalugin	1	3	Continuing	-ӈидэ	FALSE	NA	2.3	0	COP
19	Grigorij Shalugin	1	2	Continuing	-ллэ	FALSE	NA	0	0	PH
20	Grigorij Shalugin	0.5	3	Falling	-л	TRUE	FULL	0	0.6	PH
21	Grigorij Shalugin	1	3	Continuing	-лу-кэ	FALSE	NA	0.4	0	COP
22	Grigorij Shalugin	1	1	Continuing	-лэк	TRUE	FULL	0	0	PH
23	Grigorij Shalugin	0.666666666666667	4	Falling	-лэк	FALSE	NA	0	1.9	PH
24	Grigorij Shalugin	1	4	Falling	-л	FALSE	NA	0	1.9	COP
25	Grigorij Shalugin	1	1	Continuing	-ньэ	TRUE	FULL	0	0	PH
26	Grigorij Shalugin	0	3	Continuing	NA	TRUE	PARTIAL	0	0	PH
27	Grigorij Shalugin	1	2	Falling	-л-у-л	FALSE	NA	0	1.5	COP
28	Grigorij Shalugin	1	1	Continuing	-л	TRUE	PARTIAL	0	0	PH
29	Grigorij Shalugin	1	3	Falling	-л	FALSE	NA	0	0.5	COP
30	Grigorij Shalugin	1	2	Continuing	-л-у-м	TRUE	FULL	0.4	0.5	PH
31	Grigorij Shalugin	1	2	Falling	-гэлэ	TRUE	FULL	0.5	0.6	PH
32	Grigorij Shalugin	0.666666666666667	4	Falling	-гэт	FALSE	NA	0	1.5	PH
33	Grigorij Shalugin	0	2	Continuing	-ӈ	FALSE	NA	0	0.7	PH
34	Grigorij Shalugin	1	1	Continuing	-л-мэлэ	TRUE	PARTIAL	0.7	0.8	PH
35	Grigorij Shalugin	1	2	Falling	-й	FALSE	NA	0.2	0	COP
